"INSEE";"DEPT";"NUMCANTON"
"02575";"02";"25"
"02576";"02";"35"
"02577";"02";"32"
"02578";"02";"12"
"02579";"02";"24"
"02580";"02";"24"
"02581";"02";"04"
"02582";"02";"12"
"02583";"02";"12"
"02584";"02";"05"
"02585";"02";"24"
"02586";"02";"26"
"02587";"02";"38"
"02588";"02";"12"
"02589";"02";"32"
"02590";"02";"10"
"02591";"02";"13"
"02592";"02";"25"
"02593";"02";"31"
"02594";"02";"22"
"02595";"02";"10"
"02596";"02";"07"
"02597";"02";"04"
"02598";"02";"35"
"02599";"02";"11"
"02600";"02";"19"
"02601";"02";"21"
"02602";"02";"01"
"02604";"02";"29"
"02605";"02";"25"
"02606";"02";"24"
"02607";"02";"41"
"02608";"02";"34"
"02609";"02";"38"
"02610";"02";"31"
"02612";"02";"32"
"02613";"02";"21"
"02614";"02";"33"
"02615";"02";"33"
"02616";"02";"11"
"02617";"02";"13"
"02618";"02";"03"
"02619";"02";"01"
"02620";"02";"04"
"02621";"02";"38"
"02622";"02";"22"
"02623";"02";"34"
"02624";"02";"16"
"02625";"02";"16"
"02626";"02";"21"
"02627";"02";"21"
"02628";"02";"36"
"02629";"02";"27"
"02631";"02";"11"
"02632";"02";"11"
"02633";"02";"04"
"02634";"02";"26"
"02635";"02";"03"
"02636";"02";"25"
"02637";"02";"39"
"02638";"02";"13"
"02639";"02";"20"
"02640";"02";"25"
"02641";"02";"26"
"02642";"02";"26"
"02643";"02";"35"
"02644";"02";"36"
"02645";"02";"10"
"02646";"02";"04"
"02647";"02";"37"
"02648";"02";"25"
"02649";"02";"22"
"02650";"02";"05"
"02651";"02";"14"
"02652";"02";"34"
"02653";"02";"07"
"02654";"02";"16"
"02655";"02";"15"
"02656";"02";"21"
"02657";"02";"27"
"02658";"02";"33"
"02659";"02";"39"
"02660";"02";"26"
"02661";"02";"01"
"02662";"02";"22"
"02663";"02";"24"
"02664";"02";"10"
"02665";"02";"24"
"02666";"02";"26"
"02667";"02";"35"
"02668";"02";"27"
"02669";"02";"10"
"02670";"02";"34"
"02671";"02";"11"
"02672";"02";"35"
"02673";"02";"35"
"02674";"02";"02"
"02675";"02";"12"
"02676";"02";"30"
"02677";"02";"10"
"02678";"02";"26"
